person_id,personal_id,initials,first_name,last_name,position_no,position_en,party_id,period_id,constituency_code_new,constituency_name,rep_id,sup_id
12017,,,Peter Christian Hersleb Kjersc,Michelsen,"Overretssagsfører, Skibsreder","Barrister, shipowner",31,41,12010,Bergen,2,
12017,,,Peter Christian Hersleb Kjersc,Michelsen,Skibsreder,Shipowner,63,53,12900,Søndre Bergenhus Amt,1,
12715,,,Peter Collett,Solberg,"Grosserer, cand.jur","Grocer, cand.jur",71,47,1030,Fredrikstad,1,
12715,,,Peter Collett,Solberg,"Grosserer, cand.jur","Grocer, cand.jur",71,50,1030,Fredrikstad,1,
12715,,,Peter Collett,Solberg,"Grosserer, cand.jur","Grocer, cand.jur",71,53,1030,Fredrikstad,1,
11586,,,Peter Daniel Baade Wind,Kildal,Høiesteretsadvokat,Supreme Court Barrister,98,15,88612,Christiania og Hønefos,4,
11586,,,Peter Daniel Baade Wind,Kildal,Høiesteretsadvokat,Supreme Court Barrister,98,17,88614,"Kristiania, Hønefoss og Kongsvinger",,1
11586,,,Peter Daniel Baade Wind,Kildal,Høiesteretsadvokat,Supreme Court Barrister,98,18,88614,"Kristiania, Hønefoss og Kongsvinger",3,
11586,,,Peter Daniel Baade Wind,Kildal,Høiesteretsadvokat,Supreme Court Barrister,98,19,88614,"Kristiania, Hønefoss og Kongsvinger",3,
11586,,,Peter Daniel Baade Wind,Kildal,Hypotekbankdirektør,General manager of the Norwegian Hypotekbank,98,20,88614,"Kristiania, Hønefoss og Kongsvinger",4,
11214,,,Peter Didrik Stilling Steen,Herlofsen,"Gaardeier, kjøbmand",Farm owner and merchant,98,3,9030,Arendal,1,
13136,,,Peter Edvard,Vorum,Lærer,Teacher,21,83,4900,Hedmark fylke,5,
