last_name,first_name,years_lived,position_type,position_department,position_years,source,Column 8
Bakken,Odd,1957-,pers rådg,SOS,1992,"Bakken, Odd (1957-) pers rådg SOS 1988-1989, pers rådg AAD 1990-1991, pers rådg SOS 1992, pol rådg SOS 1992",
Bakken,Odd,1957-,pol rådg,SOS,1992,"Bakken, Odd (1957-) pers rådg SOS 1988-1989, pers rådg AAD 1990-1991, pers rådg SOS 1992, pol rådg SOS 1992",
Bakkevig,Trond,1948-,pers rådg,UD,1987-1988,"Bakkevig, Trond (1948-) pers rådg UD 1987-1988",
error,,,,,,"Bals, Anders Johansen (1973-)stsekr KRD, FAD og MD 2013, stsekr KMD 2014-",
Balstad,Jan,1937-,str,UD (hs),1988-1989,"Balstad, Jan (1937-) str UD (hs) 1988-1989",
Bang,Anton Christian,1840-1913,str,KUD,1893-1895,"Bang, Anton Christian (1840-1913) str KUD 1893-1895, str S 1895",
Bang,Anton Christian,1840-1913,str,S,1895,"Bang, Anton Christian (1840-1913) str KUD 1893-1895, str S 1895",
Bang,Oddny Annie,1939-,stsekr,KOM,1992,"Bang, Oddny Annie (1939-) stsekr KOM 1992, stsekr KAD 1993-1995",
Bang,Oddny Annie,1939-,stsekr,KAD,1993-1995,"Bang, Oddny Annie (1939-) stsekr KOM 1992, stsekr KAD 1993-1995",
Bang,Thomas Cathinco,1827-1902,str,ID,1884,"Bang, Thomas Cathinco (1827-1902) str ID 1884",
Bargem,Henrik,1923-2004,stsekr,KUD,1965-1969,"Bargem, Henrik (1923-2004) stsekr KUD 1965-1969",
Barstad,Helge,1928-,stsekr,LD,1981-1983,"Barstad, Helge (1928-) stsekr LD 1981-1983",
Bartnes,Inge,1970-,midl pol rådg,KRD,1998-1999,"Bartnes, Inge (1970-) midl pol rådg KRD 1998-1999, midl pol rådg KRD 1999-2000, stsekr KRD 2005-2007",
Bartnes,Inge,1970-,midl pol rådg,KRD,1999-2000,"Bartnes, Inge (1970-) midl pol rådg KRD 1998-1999, midl pol rådg KRD 1999-2000, stsekr KRD 2005-2007",
Bartnes,Inge,1970-,stsekr,KRD,2005-2007,"Bartnes, Inge (1970-) midl pol rådg KRD 1998-1999, midl pol rådg KRD 1999-2000, stsekr KRD 2005-2007",
Bartnes,Lars Erik,1978-,pol rådg,KRD,2007-2009,"Bartnes, Lars Erik (1978-)pol rådg KRD 2007-2009, kst stsekr KRD 2009,stsekr SD 2009-2012, stsekr SD 2012-2013",
Bartnes,Lars Erik,1978-,kst stsekr,KRD,2009,"Bartnes, Lars Erik (1978-)pol rådg KRD 2007-2009, kst stsekr KRD 2009,stsekr SD 2009-2012, stsekr SD 2012-2013",
Bartnes,Lars Erik,1978-,stsekr,SD,2009-2012,"Bartnes, Lars Erik (1978-)pol rådg KRD 2007-2009, kst stsekr KRD 2009,stsekr SD 2009-2012, stsekr SD 2012-2013",
Bartnes,Lars Erik,1978-,stsekr,SD,2012-2013,"Bartnes, Lars Erik (1978-)pol rådg KRD 2007-2009, kst stsekr KRD 2009,stsekr SD 2009-2012, stsekr SD 2012-2013",
Bauer,Irene,1945-,pers sekr,OED,1989,"Bauer, Irene (1945-) pers sekr OED 1989",
Bech,Frederik Julius,1758-1822,error,,,"Bech, Frederik Julius (1758-1822) biskop",
Bech,Jon Dagfinnson,1944-,pers sekr,MD,1978,"Bech, Jon Dagfinnson (1944-) pers sekr MD 1978",
Befring,Ottar,1939-,stsekr,LD,1992-1996,"Befring, Ottar (1939-) stsekr LD 1992-1996, stsekr LD 1996-1997",
Befring,Ottar,1939-,stsekr,LD,1996-1997,"Befring, Ottar (1939-) stsekr LD 1992-1996, stsekr LD 1996-1997",
Bekkelund,Anne Marie,1947-,pol rådg,UD (bist),1992-1996,"Bekkelund, Anne Marie (1947-) pol rådg UD (bist) 1992-1996, pol rådg UD (bist) 1996-1997",
Bekkelund,Anne Marie,1947-,pol rådg,UD (bist),1996-1997,"Bekkelund, Anne Marie (1947-) pol rådg UD (bist) 1992-1996, pol rådg UD (bist) 1996-1997",
Bekkemellem,"Karita – tidligere Orheim, Karita Bekkemellem",1965-,str,BFD,2000-2001,"Bekkemellem, Karita – tidligere Orheim, Karita Bekkemellem (1965-)  str BFD 2000-2001, str BFD 2005, str BLD 2006-2007",
